Days  Uninfected Infected  Recovered  Deaths
0   4599878   117   0   0
2   4599834   161   0   0
4   4599777   218   0   0
6   4599709   286   0   0
8   4599622   373   0   0
10   4599523   472   0   0
12   4599427   568   0   0
14   4599312   683   0   0
16   4599272   722   1   0
18   4599244   734   17   0
20   4599224   722   49   0
22   4599205   679   110   1
24   4599191   626   177   1
26   4599184   570   239   2
28   4599173   510   310   2
30   4599156   454   383   2
32   4599142   393   457   3
34   4599129   313   550   3
36   4599111   232   648   4
38   4599088   191   712   4
40   4599066   183   741   5
42   4599042   184   764   5
44   4599016   192   782   5
46   4599001   197   792   5
48   4598977   205   807   6
50   4598931   239   819   6
52   4598888   268   833   6
54   4598839   301   849   6
56   4598775   347   867   6
58   4598693   412   884   6
60   4598606   482   901   6
62   4598513   554   922   6
64   4598402   641   946   6
66   4598271   752   966   6
68   4598111   887   990   7
70   4597946   1018   1023   8
72   4597726   1195   1066   8
74   4597533   1345   1109   8
76   4597268   1551   1167   9
78   4596971   1786   1229   9
80   4596638   2035   1312   10
82   4596286   2303   1395   11
84   4595861   2638   1485   11
86   4595373   3007   1602   13
88   4594796   3455   1727   17
90   4594213   3883   1879   20
92   4593499   4424   2051   21
94   4592688   5047   2237   23
96   4591763   5757   2448   27
98   4590741   6514   2710   30
100   4589531   7423   3009   32
102   4588147   8456   3359   33
104   4586528   9686   3741   40
106   4584760   11009   4184   42
108   4582735   12563   4652   45
110   4580371   14401   5172   51
112   4577729   16375   5837   54
114   4574725   18671   6537   62
116   4571298   21228   7395   74
118   4567501   24106   8310   78
120   4562993   27578   9330   94
122   4558002   31360   10528   105
124   4552299   35648   11931   117
126   4545857   40422   13589   127
128   4538485   46050   15322   138
130   4530223   52230   17385   157
132   4520807   59275   19730   183
134   4510206   67275   22306   208
136   4498217   76243   25294   241
138   4484441   86443   28833   278
140   4469131   97772   32767   325
142   4452086   110401   37149   359
144   4432872   124466   42253   404
146   4411065   140484   47984   462
148   4387137   157871   54463   524
150   4360532   177100   61756   607
152   4330713   198451   70152   679
154   4297777   221923   79529   766
156   4261712   247144   90260   879
158   4222273   274245   102469   1008
160   4179319   303501   116045   1130
162   4132391   334897   131450   1257
164   4081693   368118   148774   1410
166   4027359   402986   168055   1595
168   3969527   439034   189645   1789
170   3908290   476178   213525   2002
172   3843831   513485   240407   2272
174   3776752   550607   270140   2496
176   3706859   587197   303168   2771
178   3634921   622843   339123   3108
180   3561537   656761   378261   3436
182   3487784   687151   421228   3832
184   3414007   714228   467514   4246
186   3339983   737488   517845   4679
188   3267223   755710   571939   5123
