Days  Uninfected Infected  Recovered  Deaths
0   4599881   114   0   0
2   4599849   146   0   0
4   4599783   212   0   0
6   4599731   264   0   0
8   4599643   352   0   0
10   4599535   460   0   0
12   4599370   625   0   0
14   4599161   833   0   1
16   4598907   1083   4   1
18   4598536   1438   20   1
20   4598056   1876   62   1
22   4597447   2435   112   1
24   4596661   3162   169   3
26   4595647   4122   223   3
28   4594283   5414   294   4
30   4592542   7056   391   6
32   4590211   9269   508   7
34   4587113   12188   684   10
36   4583081   16006   890   18
38   4577797   21006   1166   26
40   4570969   27481   1511   34
42   4562068   35898   1992   37
44   4550173   47154   2622   46
46   4534865   61627   3441   62
48   4514779   80616   4524   76
50   4488884   104985   6025   101
52   4455603   136331   7926   135
54   4411950   177432   10433   180
56   4356101   230015   13639   240
58   4284640   297196   17843   316
60   4194643   381606   23322   424
62   4081393   487511   30523   568
64   3941866   617360   40026   743
66   3772624   773936   52478   957
68   3571206   958771   68719   1299
70   3337573   1171239   89524   1659
72   3073557   1407779   116541   2118
74   2784926   1660910   151485   2674
76   2480934   1919221   196439   3401
78   2171552   2169713   254486   4244
80   1870316   2396301   328122   5256
82   1587815   2585277   420473   6430
84   1332550   2723874   535742   7829
86   1108873   2804884   676890   9348
88   919015   2823278   846794   10908
90   761261   2779055   1047034   12645
92   633951   2674031   1277549   14464
94   532713   2515706   1535379   16197
96   452178   2314409   1815483   17925
98   389633   2081526   2109286   19550
100   341205   1830644   2407158   20988
102   303719   1576047   2697945   22284
104   275144   1329149   2972311   23391
106   253235   1100086   3222294   24380
108   236318   895628   3442889   25160
110   223528   718052   3632611   25804
112   213722   569153   3790760   26360
114   206448   446499   3920300   26748
116   200956   347924   4024036   27079
118   196808   268866   4106983   27338
120   193635   206647   4172177   27536
122   191282   158013   4223033   27667
124   189533   120719   4261956   27787
126   188150   92120   4291852   27873
128   187122   69913   4315016   27944
130   186285   53013   4332701   27996
132   185685   40090   4346188   28032
134   185230   30361   4356340   28064
136   184879   22911   4364116   28089
138   184616   17377   4369897   28105
140   184391   13129   4374355   28120
142   184248   9913   4377707   28127
144   184147   7522   4380190   28136
146   184062   5749   4382042   28142
148   183998   4325   4383526   28146
150   183961   3317   4384566   28151
152   183925   2499   4385416   28155
154   183898   1852   4386088   28157
156   183885   1411   4386539   28160
158   183874   1063   4386895   28163
160   183866   787   4387178   28164
162   183858   585   4387387   28165
164   183851   437   4387542   28165
166   183850   314   4387666   28165
168   183848   227   4387755   28165
170   183846   174   4387810   28165
172   183843   118   4387869   28165
174   183842   90   4387898   28165
176   183841   67   4387922   28165
178   183839   53   4387938   28165
180   183838   41   4387951   28165
182   183837   35   4387958   28165
184   183837   25   4387968   28165
186   183837   18   4387975   28165
188   183837   14   4387979   28165
190   183837   12   4387981   28165
192   183837   10   4387983   28165
194   183837   8   4387985   28165
196   183837   7   4387986   28165
198   183837   5   4387988   28165
200   183837   2   4387991   28165
202   183837   1   4387992   28165
204   183837   1   4387992   28165
206   183837   1   4387992   28165
208   183837   0   4387993   28165
210   183837   0   4387993   28165
212   183837   0   4387993   28165
214   183837   0   4387993   28165
216   183837   0   4387993   28165
218   183837   0   4387993   28165
220   183837   0   4387993   28165
222   183837   0   4387993   28165
224   183837   0   4387993   28165
226   183837   0   4387993   28165
228   183837   0   4387993   28165
230   183837   0   4387993   28165
232   183837   0   4387993   28165
234   183837   0   4387993   28165
236   183837   0   4387993   28165
238   183837   0   4387993   28165
240   183837   0   4387993   28165
242   183837   0   4387993   28165
244   183837   0   4387993   28165
246   183837   0   4387993   28165
248   183837   0   4387993   28165
250   183837   0   4387993   28165
252   183837   0   4387993   28165
254   183837   0   4387993   28165
256   183837   0   4387993   28165
258   183837   0   4387993   28165
260   183837   0   4387993   28165
262   183837   0   4387993   28165
264   183837   0   4387993   28165
266   183837   0   4387993   28165
268   183837   0   4387993   28165
270   183837   0   4387993   28165
272   183837   0   4387993   28165
274   183837   0   4387993   28165
276   183837   0   4387993   28165
278   183837   0   4387993   28165
280   183837   0   4387993   28165
282   183837   0   4387993   28165
284   183837   0   4387993   28165
286   183837   0   4387993   28165
288   183837   0   4387993   28165
290   183837   0   4387993   28165
292   183837   0   4387993   28165
294   183837   0   4387993   28165
296   183837   0   4387993   28165
298   183837   0   4387993   28165
300   183837   0   4387993   28165
302   183837   0   4387993   28165
304   183837   0   4387993   28165
306   183837   0   4387993   28165
308   183837   0   4387993   28165
310   183837   0   4387993   28165
312   183837   0   4387993   28165
314   183837   0   4387993   28165
316   183837   0   4387993   28165
318   183837   0   4387993   28165
320   183837   0   4387993   28165
322   183837   0   4387993   28165
324   183837   0   4387993   28165
326   183837   0   4387993   28165
328   183837   0   4387993   28165
330   183837   0   4387993   28165
332   183837   0   4387993   28165
334   183837   0   4387993   28165
336   183837   0   4387993   28165
338   183837   0   4387993   28165
340   183837   0   4387993   28165
342   183837   0   4387993   28165
344   183837   0   4387993   28165
346   183837   0   4387993   28165
348   183837   0   4387993   28165
350   183837   0   4387993   28165
352   183837   0   4387993   28165
354   183837   0   4387993   28165
356   183837   0   4387993   28165
358   183837   0   4387993   28165
360   183837   0   4387993   28165
362   183837   0   4387993   28165
364   183837   0   4387993   28165
366   183837   0   4387993   28165
368   183837   0   4387993   28165
370   183837   0   4387993   28165
372   183837   0   4387993   28165
374   183837   0   4387993   28165
376   183837   0   4387993   28165
378   183837   0   4387993   28165
380   183837   0   4387993   28165
382   183837   0   4387993   28165
384   183837   0   4387993   28165
386   183837   0   4387993   28165
388   183837   0   4387993   28165
390   183837   0   4387993   28165
392   183837   0   4387993   28165
394   183837   0   4387993   28165
396   183837   0   4387993   28165
398   183837   0   4387993   28165
